247,IVZ,914208,Invesco Ltd.
248,JBL,898293,Jabil Circuit Inc.
249,JCI,53669,Johnson Controls Inc.
250,JEC,52988,Jacobs Engineering Group Inc.
251,JNJ,200406,Johnson & Johnson
252,JNPR,1043604,"Juniper Networks, Inc."
253,JOY,801898,"Joy Global, Inc."
254,JPM,19617,JPMorgan Chase & Co.
255,JWN,72333,Nordstrom Inc.
256,K,55067,Kellogg Company
257,KEY,91576,KeyCorp.
258,KIM,879101,Kimco Realty Corporation
259,KLAC,319201,KLA-Tencor Corporation
260,KMB,55785,Kimberly-Clark Corporation
261,KMI,1506307,"Kinder Morgan, Inc."
262,KMX,1170010,CarMax Inc.
263,KO,21344,The Coca-Cola Company
264,KORS,1530721,Michael Kors Holdings Limited
265,KR,56873,The Kroger Co.
266,KRFT,1545158,"Kraft Foods Group, Inc."
267,KSS,885639,Kohl’s Corp.
268,KSU,54480,Kansas City Southern
269,L,60086,Loews Corporation
270,LB,701985,"L Brands, Inc."
271,LEG,58492,"Leggett & Platt, Incorporated"
272,LEN,920760,Lennar Corp.
273,LH,920148,Laboratory Corp. of America Holdings
274,LLL,1056239,L-3 Communications Holdings Inc.
275,LLTC,791907,Linear Technology Corporation
276,LLY,59478,Eli Lilly and Company
277,LM,704051,Legg Mason Inc.
278,LMT,936468,Lockheed Martin Corporation
279,LNC,59558,Lincoln National Corporation
280,LO,1424847,"Lorillard, Inc."
281,LOW,60667,Lowe’s Companies Inc.
282,LRCX,707549,Lam Research Corporation
283,LUK,96223,Leucadia National Corporation
284,LUV,92380,Southwest Airlines Co.
285,LYB,1489393,LyondellBasell Industries N.V.
286,M,794367,"Macy’s, Inc."
287,MA,1141391,MasterCard Incorporated
288,MAC,912242,The Macerich Company
289,MAR,1048286,"Marriott International, Inc."
290,MAS,62996,Masco Corporation
291,MAT,63276,"Mattel, Inc."
292,MCD,63908,McDonald’s Corp.
293,MCHP,827054,Microchip Technology Inc.
294,MCK,927653,McKesson Corporation
295,MCO,1059556,Moody’s Corporation
296,MDLZ,1103982,"Mondelez International, Inc."
297,MDT,1613103,"Medtronic, Inc."
298,MET,1099219,"MetLife, Inc."
299,MHFI,64040,"McGraw Hill Financial, Inc."
300,MHK,851968,Mohawk Industries Inc.
301,MJN,1452575,Mead Johnson Nutrition Company
302,MKC,63754,"McCormick & Company, Incorporated"
303,MLM,916076,Martin Marietta Materials Inc.
304,MMC,62709,"Marsh & McLennan Companies, Inc."
305,MMM,66740,3M Company
306,MNST,865752,Monster Beverage Corporation
307,MO,764180,Altria Group Inc.
308,MON,1110783,Monsanto Company
309,MOS,1285785,The Mosaic Company
310,MPC,1510295,Marathon Petroleum Corporation
311,MRK,310158,Merck & Co. Inc.
312,MRO,101778,Marathon Oil Corporation
313,MS,895421,Morgan Stanley
314,MSFT,789019,Microsoft Corporation
315,MSI,68505,"Motorola Solutions, Inc."
316,MTB,36270,M&T Bank Corporation
317,MU,723125,"Micron Technology, Inc."
318,MUR,717423,Murphy Oil Corporation
319,MWV,1159297,MeadWestvaco Corporation
320,MYL,69499,"Mylan, Inc."
321,NAVI,1593538,Navient Corporation
322,NBL,72207,"Noble Energy, Inc."
323,NBR,1163739,Nabors Industries Ltd.
324,NDAQ,1120193,"The Nasdaq OMX Group, Inc."
325,NE,1458891,Noble Corp.
326,NEE,1603145,"NextEra Energy, Inc."
327,NEM,1164727,Newmont Mining Corporation
328,NFLX,1065280,"Netflix, Inc."
329,NFX,912750,Newfield Exploration Co.
330,NI,1111711,NiSource Inc.
331,NKE,320187,"Nike, Inc."
332,NLSN,1492633,Nielsen N.V.
333,NOC,1133421,Northrop Grumman Corporation
334,NOV,1021860,"National Oilwell Varco, Inc."
335,NRG,1013871,"NRG Energy, Inc."
336,NSC,702165,Norfolk Southern Corporation
337,NTAP,1002047,"NetApp, Inc."
338,NTRS,73124,Northern Trust Corporation
339,NU,72741,Northeast Utilities
340,NUE,73309,Nucor Corporation
341,NVDA,1045810,NVIDIA Corporation
342,NWL,814453,Newell Rubbermaid Inc.
343,NWS,1564708,News Corporation
344,OI,812074,"Owens-Illinois, Inc."
345,OKE,1039684,ONEOK Inc.
346,OMC,29989,Omnicom Group Inc.
347,ORCL,1341439,Oracle Corporation
348,ORLY,898173,O’Reilly Automotive Inc.
349,OXY,797468,Occidental Petroleum Corporation
350,PAYX,723531,"Paychex, Inc."
351,PBCT,1378946,People’s United Financial Inc.
352,PBI,78814,Pitney Bowes Inc.
353,PCAR,75362,PACCAR Inc.
354,PCG,1004980,PG&E Corporation
355,PCL,849213,Plum Creek Timber Co. Inc.
356,PCLN,1075531,The Priceline Group Inc.
357,PCP,79958,Precision Castparts Corp.
358,PDCO,891024,"Patterson Companies, Inc."
359,PEG,788784,Public Service Enterprise Group Inc.
360,PEP,77476,"Pepsico, Inc."
361,PETM,863157,"PetSmart, Inc."
362,PFE,78003,Pfizer Inc.
363,PFG,1126328,Principal Financial Group Inc.
364,PG,80424,The Procter & Gamble Company
365,PGR,80661,Progressive Corp.
366,PH,76334,Parker-Hannifin Corporation
367,PHM,822416,"PulteGroup, Inc."
368,PKI,31791,PerkinElmer Inc.
369,PLD,1045609,"Prologis, Inc."
370,PLL,75829,Pall Corporation
371,PM,1413329,"Philip Morris International, Inc."
372,PNC,713676,"The PNC Financial Services Group, Inc."
373,PNR,77360,Pentair plc
374,PNW,764622,Pinnacle West Capital Corporation
375,POM,1135971,"Pepco Holdings, Inc."
376,PPG,79879,PPG Industries Inc.
377,PPL,922224,PPL Corporation
378,PRGO,1585364,Perrigo Company Public Limited Company
379,PRU,1137774,"Prudential Financial, Inc."
380,PSA,1393311,Public Storage
381,PSX,1534701,Phillips 66
382,PVH,78239,PVH Corp.
383,PWR,1050915,"Quanta Services, Inc."
384,PX,884905,Praxair Inc.
385,PXD,1038357,Pioneer Natural Resources Co.
386,QCOM,804328,QUALCOMM Incorporated
387,QEP,1108827,"QEP Resources, Inc."
388,R,85961,"Ryder System, Inc."
389,RAI,1275283,Reynolds American Inc.
390,RDC,85408,Rowan Companies plc
391,REGN,872589,"Regeneron Pharmaceuticals, Inc."
392,RF,1281761,Regions Financial Corporation
393,RHI,315213,Robert Half International Inc.
394,RHT,1087423,"Red Hat, Inc."
395,RIG,1451505,Transocean Ltd.
396,RL,1037038,Ralph Lauren Corporation
397,ROK,1024478,Rockwell Automation Inc.
398,ROP,882835,Roper Industries Inc.
399,ROST,745732,Ross Stores Inc.
400,RRC,315852,Range Resources Corporation
401,RSG,1060391,"Republic Services, Inc."
402,RTN,1047122,Raytheon Company
403,SBUX,829224,Starbucks Corporation
404,SCG,754737,SCANA Corp.
405,SCHW,316709,The Charles Schwab Corporation
406,SE,1373835,Spectra Energy Corp.
407,SEE,1012100,Sealed Air Corporation
408,SHW,89800,The Sherwin-Williams Company
409,SIAL,90185,Sigma-Aldrich Corporation
410,SJM,91419,The J. M. Smucker Company
411,SLB,87347,Schlumberger Limited
412,SNA,91440,Snap-on Incorporated
413,SNDK,1000180,SanDisk Corp.
414,SNI,1430602,"Scripps Networks Interactive, Inc."
415,SO,92122,Southern Company
416,SPG,1063761,Simon Property Group Inc.
417,SPLS,791519,"Staples, Inc."
418,SRCL,861878,"Stericycle, Inc."
419,SRE,1032208,Sempra Energy
420,STI,750556,"SunTrust Banks, Inc."
421,STJ,203077,St. Jude Medical Inc.
422,STT,93751,State Street Corporation
423,STX,1137789,Seagate Technology Public Limited Company
424,STZ,16918,Constellation Brands Inc.
425,SWK,93556,"Stanley Black & Decker, Inc."
426,SWN,7332,Southwestern Energy Co.
427,SWY,86144,Safeway Inc.
428,SYK,310764,Stryker Corporation
429,SYMC,849399,Symantec Corporation
430,SYY,96021,Sysco Corporation
431,T,732717,"AT&T, Inc."
432,TAP,24545,Molson Coors Brewing Company
433,TDC,816761,Teradata Corporation
434,TE,350563,"TECO Energy, Inc."
435,TEG,916863,"Integrys Energy Group, Inc."
436,TEL,1385157,TE Connectivity Ltd.
437,TGT,27419,Target Corp.
438,THC,70318,Tenet Healthcare Corp.
439,TIF,98246,Tiffany & Co.
440,TJX,109198,"The TJX Companies, Inc."
441,TMK,320335,Torchmark Corporation
442,TMO,97745,"Thermo Fisher Scientific, Inc."
443,TRIP,1526520,TripAdvisor Inc.
444,TROW,1113169,"T. Rowe Price Group, Inc."
445,TRV,86312,"The Travelers Companies, Inc."
446,TSCO,916365,Tractor Supply Company
447,TSN,100493,"Tyson Foods, Inc."
448,TSO,50104,Tesoro Corporation
449,TSS,721683,"Total System Services, Inc."
450,TWC,1377013,Time Warner Cable Inc.
451,TWX,1105705,Time Warner Inc.
452,TXN,97476,Texas Instruments Inc.
453,TXT,217346,Textron Inc.
454,TYC,1608109,Tyco International Ltd.
455,UA,1336917,"Under Armour, Inc."
456,UNH,731766,UnitedHealth Group Incorporated
457,UNM,5513,Unum Group
458,UNP,100885,Union Pacific Corporation
459,UPS,1090727,"United Parcel Service, Inc."
460,URBN,912615,Urban Outfitters Inc.
461,USB,36104,U.S. Bancorp
462,UTX,101829,United Technologies Corporation
463,V,1403161,Visa Inc.
464,VAR,203527,"Varian Medical Systems, Inc."
465,VFC,103379,V.F. Corporation
466,VIAB,1339947,"Viacom, Inc."
467,VLO,1035002,Valero Energy Corporation
468,VMC,1396009,Vulcan Materials Company
469,VNO,899689,Vornado Realty Trust
470,VRSN,1014473,"VeriSign, Inc."
471,VRTX,875320,Vertex Pharmaceuticals Incorporated
472,VTR,740260,"Ventas, Inc."
473,VZ,732712,Verizon Communications Inc.
474,WAG,104207,Walgreen Co.
475,WAT,1000697,Waters Corporation
476,WDC,106040,Western Digital Corporation
477,WEC,107815,Wisconsin Energy Corp.
478,WFC,72971,Wells Fargo & Company
479,WFM,865436,"Whole Foods Market, Inc."
480,WHR,106640,Whirlpool Corp.
481,WIN,1282266,"Windstream Holdings, Inc."
482,WLP,1156039,WellPoint Inc.
483,WM,823768,"Waste Management, Inc."
484,WMB,107263,"Williams Companies, Inc."
485,WMT,104169,Wal-Mart Stores Inc.
486,WU,1365135,The Western Union Company
487,WY,106535,Weyerhaeuser Co.
488,WYN,1361658,Wyndham Worldwide Corporation
489,WYNN,1180638,Wynn Resorts Ltd.
490,XEC,1168054,Cimarex Energy Co.
491,XEL,72903,Xcel Energy Inc.
492,XL,875159,XL Group plc
493,XLNX,743988,Xilinx Inc.
494,XOM,34088,Exxon Mobil Corporation
495,XRAY,818479,DENTSPLY International Inc.
496,XRX,108772,Xerox Corporation
497,XYL,1524472,Xylem Inc.
498,YHOO,1011006,Yahoo! Inc.
499,YUM,1041061,"Yum! Brands, Inc."
500,ZION,109380,Zions Bancorporation
501,ZMH,1136869,"Zimmer Holdings, Inc."
502,ZTS,1555280,Zoetis Inc.
